method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PISR-NSGA-II,Painleve-I,1,3.0231764192,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,3.0231764192,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,0.0339944052,0.0000000000,4,2
PISR-NSGA-II,Painleve-I,1,0.1397803576,0.0000000000,2,2
PISR-NSGA-II,Painleve-I,1,3.0231764192,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,0.0601206940,0.0000000000,3,2
PISR-NSGA-II,Painleve-I,1,3.0231764192,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,0.1397803576,0.0000000000,2,2
PISR-NSGA-II,Painleve-I,1,0.1397803576,0.0000000000,2,2
PISR-NSGA-II,Painleve-I,1,3.0231764192,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,3.0231764192,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,3.0231764192,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,3.0231764192,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,3.0231764192,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,3.0231764192,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,3.0231764192,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,3.0231764192,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,3.0231764192,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,3.0231764192,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,3.0231764192,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,3.0231764192,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,3.0231764192,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,3.0231764192,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,3.0231764192,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,3.0231764192,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,3.0231764192,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,3.0231764192,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,3.0231764192,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,3.0231764192,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,3.0231764192,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,3.0231764192,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,3.0231764192,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,3.0231764192,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,3.0231764192,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,3.0231764192,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,3.0231764192,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,3.0231764192,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,3.0231764192,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,3.0231764192,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,3.0231764192,0.0000000000,1,2
