method,pde,pareto_size,best_mse_domain,best_mse_boundary,mean_mse_domain,mean_mse_boundary,hypervolume,runtime_s
PISR-EMOA/D,Laplace_1D,125,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0185064210
RK4/FDM,Laplace_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000104070
PISR-EMOA/D,Poisson_1D,119,0.0000000000,0.0000000000,12.3684764169,0.0000000000,1.0000000000,0.0290575660
RK4/FDM,Poisson_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000129690
PISR-EMOA/D,Helmholtz_1D,121,0.0000000000,0.0000000000,10.4145746779,0.0012479464,1.0000000000,0.0297247490
RK4/FDM,Helmholtz_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000258960
PISR-EMOA/D,Schrodinger_1D,119,0.0000000000,0.0000000000,180247.8778715089,0.2591076222,1.0000000000,0.0244899170
RK4/FDM,Schrodinger_1D,1,0.4914014268,0.0000000000,0.4914014268,0.0000000000,0.0000000000,0.0000119120
PISR-EMOA/D,HarmonicOscillator_1D,89,0.0000000000,0.0000000000,0.0374889738,0.0013101688,1.0000000000,0.0272087330
RK4/FDM,HarmonicOscillator_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000063390
PISR-EMOA/D,Airy_1D,86,0.0109615675,0.0000110130,0.2275415062,0.0104270039,0.9999989027,48.1493085970
RK4/FDM,Airy_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000064120
PISR-EMOA/D,Laplace_2D,120,0.0000000000,0.0000000000,15.9819501424,0.0267335654,1.0000000000,0.0767927350
RK4/FDM,Laplace_2D,1,0.0003958869,0.0000000000,0.0003958869,0.0000000000,0.0000000000,0.0456919240
PISR-EMOA/D,Poisson_2D,96,0.0000000000,0.0000000000,9.3249028125,0.0306300404,1.0000000000,0.0561822570
RK4/FDM,Poisson_2D,1,0.0039076445,0.0000000000,0.0039076445,0.0000000000,0.0000000000,0.0949113480
PISR-EMOA/D,Helmholtz_2D,96,0.0000000000,0.0000000000,8.5028320235,0.0209747058,1.0000000000,0.0526212070
RK4/FDM,Helmholtz_2D,1,0.0048138713,0.0000000000,0.0048138713,0.0000000000,0.0000000000,0.0996684630
PISR-EMOA/D,Schrodinger_2D,98,0.0000000000,0.0000000000,0.6122943800,0.0306123657,1.0000000000,0.0351316070
PISR-EMOA/D,HarmonicOscillator_2D,99,0.0000000000,0.0000000000,0.0580195458,0.0015531256,1.0000000000,0.0332168890
PISR-EMOA/D,Airy_2D,49,0.1056579516,0.0039302131,0.1810800681,0.0073577598,0.9999890412,48.2782693870
PISR-EMOA/D,NonlinearPoisson_2D,90,0.0000000000,0.0000000000,0.0456367843,0.0011439797,1.0000000000,0.0422353160
PISR-EMOA/D,Liouville_2D,91,0.0000000000,0.0000000000,0.0608701006,0.0016553656,1.0000000000,0.0401263390
PISR-EMOA/D,Sine-Gordon_2D,104,0.0000000000,0.0000000000,16.4846349395,0.0563481546,1.0000000000,0.0646157350
PISR-EMOA/D,Navier-Stokes_2D,30,0.0000000064,0.0000000000,0.0001384772,0.0000069238,1.0000000000,0.4539732910
