gen,best_mse_domain,best_mse_boundary,best_total_mse,best_val_mse
0,37.1877,0,37.1877,0.00203728
1,0.156673,0,0.156673,0.00203728
2,0.156673,0,0.156673,0.00203728
3,0.156673,0,0.156673,0.00203728
4,0.156673,0,0.156673,0.00203728
5,0.156673,0,0.156673,0.00203728
6,0.156673,0,0.156673,0.00203728
7,0.156673,0,0.156673,0.00203728
8,0.156673,0,0.156673,0.00203728
9,0.156673,0,0.156673,0.00203728
10,0.0141676,0,0.0141676,0.00203728
11,0.0141676,0,0.0141676,0.00159123
12,0.0141676,0,0.0141676,0.00159123
13,0.0141676,0,0.0141676,0.00159123
14,0.0141676,0,0.0141676,0.00159123
15,0.0141676,0,0.0141676,0.00159123
16,0.0141676,0,0.0141676,0.00159123
17,0.0141676,0,0.0141676,0.00159123
18,0.0141676,0,0.0141676,0.00159123
19,0.0141676,0,0.0141676,0.00159123
20,0.0141676,0,0.0141676,0.00159123
21,0.0141676,0,0.0141676,0.00159123
22,0.0141676,0,0.0141676,0.00159123
23,0.0141676,0,0.0141676,0.00159123
24,0.0141676,0,0.0141676,0.00159123
25,0.0102781,0,0.0102781,0.00159123
26,0.0102781,0,0.0102781,0.00159123
27,0.0102781,0,0.0102781,0.00159123
28,0.0102781,0,0.0102781,0.00159123
29,0.0102781,0,0.0102781,0.00159123
30,0.0102781,0,0.0102781,0.00159123
31,0.0102781,0,0.0102781,0.00159123
32,0.0102781,0,0.0102781,0.00159123
33,0.0102781,0,0.0102781,0.00159123
34,0.0102781,0,0.0102781,0.00159123
35,0.0102781,0,0.0102781,0.00159123
36,0.0102781,0,0.0102781,0.00159123
37,0.0102781,0,0.0102781,0.00159123
38,0.0102781,0,0.0102781,0.00159123
39,0.0102781,0,0.0102781,0.00159123
40,0.0102781,0,0.0102781,0.00159123
41,0.0102781,0,0.0102781,0.00159123
42,0.0102781,0,0.0102781,0.00159123
43,0.0102781,0,0.0102781,0.00159123
44,0.0102781,0,0.0102781,0.00159123
45,0.0102781,0,0.0102781,0.00159123
46,0.0102781,0,0.0102781,0.00159123
47,0.0102781,0,0.0102781,0.00159123
48,0.0102781,0,0.0102781,0.00159123
49,0.0102781,0,0.0102781,0.00159123
50,0.00678385,0,0.00678385,0.00159123
51,0.00678385,0,0.00678385,0.00159123
52,0.00678385,0,0.00678385,0.00159123
53,0.00678385,0,0.00678385,0.00159123
54,0.00678385,0,0.00678385,0.00159123
55,0.00678385,0,0.00678385,0.00159123
56,0.00678385,0,0.00678385,0.00159123
57,0.00678385,0,0.00678385,0.00159123
58,0.00678385,0,0.00678385,0.00159123
59,0.00678385,0,0.00678385,0.00159123
60,0.00678385,0,0.00678385,0.00159123
61,0.00678385,0,0.00678385,0.00159123
62,0.00678385,0,0.00678385,0.00159123
63,0.00678385,0,0.00678385,0.00159123
64,0.00678385,0,0.00678385,0.00159123
65,0.00678385,0,0.00678385,0.00159123
66,0.00678385,0,0.00678385,0.00159123
67,0.00678385,0,0.00678385,0.00159123
68,0.00678385,0,0.00678385,0.00159123
69,0.00678385,0,0.00678385,0.00159123
70,0.00678385,0,0.00678385,0.00159123
71,0.00678385,0,0.00678385,0.00159123
72,0.00678385,0,0.00678385,0.00159123
73,0.00678385,0,0.00678385,0.00159123
74,0.00678385,0,0.00678385,0.00159123
75,0.00511346,0,0.00511346,0.00159123
76,0.00511346,0,0.00511346,0.00159123
77,0.00511346,0,0.00511346,0.00159123
78,0.00511346,0,0.00511346,0.00159123
79,0.00511346,0,0.00511346,0.00159123
80,0.00511346,0,0.00511346,0.00159123
81,0.00511346,0,0.00511346,0.00159123
82,0.00511346,0,0.00511346,0.00159123
83,0.00511346,0,0.00511346,0.00159123
84,0.00511346,0,0.00511346,0.00159123
85,0.00511346,0,0.00511346,0.00159123
86,0.00511346,0,0.00511346,0.00159123
87,0.00511346,0,0.00511346,0.00159123
88,0.00511346,0,0.00511346,0.00159123
89,0.00511346,0,0.00511346,0.00159123
90,0.00511346,0,0.00511346,0.00159123
