x,u_exact,u_approx
0.000000,0.000000,-0.000000
0.010000,0.000050,0.003205
0.020000,0.000200,0.006411
0.030000,0.000450,0.009619
0.040000,0.000800,0.012831
0.050000,0.001250,0.016046
0.060000,0.001800,0.019266
0.070000,0.002450,0.022492
0.080000,0.003200,0.025725
0.090000,0.004050,0.028967
0.100000,0.005000,0.032217
0.110000,0.006050,0.035478
0.120000,0.007200,0.038749
0.130000,0.008450,0.042033
0.140000,0.009800,0.045330
0.150000,0.011250,0.048641
0.160000,0.012800,0.051968
0.170000,0.014450,0.055311
0.180000,0.016200,0.058671
0.190000,0.018050,0.062049
0.200000,0.020000,0.065447
0.210000,0.022050,0.068865
0.220000,0.024200,0.072304
0.230000,0.026450,0.075766
0.240000,0.028800,0.079252
0.250000,0.031250,0.082762
0.260000,0.033800,0.086298
0.270000,0.036450,0.089861
0.280000,0.039200,0.093452
0.290000,0.042050,0.097071
0.300000,0.045000,0.100721
0.310000,0.048050,0.104401
0.320000,0.051200,0.108114
0.330000,0.054450,0.111860
0.340000,0.057800,0.115640
0.350000,0.061250,0.119455
0.360000,0.064800,0.123307
0.370000,0.068450,0.127196
0.380000,0.072200,0.131124
0.390000,0.076050,0.135091
0.400000,0.080000,0.139100
0.410000,0.084050,0.143150
0.420000,0.088200,0.147243
0.430000,0.092450,0.151381
0.440000,0.096800,0.155564
0.450000,0.101250,0.159793
0.460000,0.105800,0.164070
0.470000,0.110450,0.168395
0.480000,0.115200,0.172770
0.490000,0.120050,0.177197
0.500000,0.125000,0.181675
0.510000,0.130050,0.186207
0.520000,0.135200,0.190793
0.530000,0.140450,0.195435
0.540000,0.145800,0.200134
0.550000,0.151250,0.204890
0.560000,0.156800,0.209706
0.570000,0.162450,0.214583
0.580000,0.168200,0.219520
0.590000,0.174050,0.224521
0.600000,0.180000,0.229586
0.610000,0.186050,0.234716
0.620000,0.192200,0.239913
0.630000,0.198450,0.245177
0.640000,0.204800,0.250510
0.650000,0.211250,0.255914
0.660000,0.217800,0.261389
0.670000,0.224450,0.266937
0.680000,0.231200,0.272559
0.690000,0.238050,0.278257
0.700000,0.245000,0.284031
0.710000,0.252050,0.289883
0.720000,0.259200,0.295815
0.730000,0.266450,0.301828
0.740000,0.273800,0.307922
0.750000,0.281250,0.314100
0.760000,0.288800,0.320363
0.770000,0.296450,0.326712
0.780000,0.304200,0.333149
0.790000,0.312050,0.339675
0.800000,0.320000,0.346292
0.810000,0.328050,0.353000
0.820000,0.336200,0.359802
0.830000,0.344450,0.366699
0.840000,0.352800,0.373693
0.850000,0.361250,0.380784
0.860000,0.369800,0.387975
0.870000,0.378450,0.395267
0.880000,0.387200,0.402661
0.890000,0.396050,0.410160
0.900000,0.405000,0.417765
0.910000,0.414050,0.425477
0.920000,0.423200,0.433298
0.930000,0.432450,0.441230
0.940000,0.441800,0.449274
0.950000,0.451250,0.457433
0.960000,0.460800,0.465707
0.970000,0.470450,0.474099
0.980000,0.480200,0.482611
0.990000,0.490050,0.491244
1.000000,0.500000,0.500000
