method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,0.0232382826,0.0000000000,7,1
PISR-NSGA-II,Poisson,1,2.5914837128,0.0000000000,5,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,55.7109015207,0.0000000000,4,1
