x,y,u_exact,u_approx
0,0,0.5,0.5
0,0.0333333,0.508332,0.508333
0,0.0666667,0.51666,0.51666
0,0.1,0.524979,0.524979
0,0.133333,0.533283,0.533284
0,0.166667,0.54157,0.54157
0,0.2,0.549833,0.549834
0,0.233333,0.558069,0.55807
0,0.266667,0.566274,0.566274
0,0.3,0.574441,0.574443
0,0.333333,0.582568,0.58257
0,0.366667,0.590653,0.590653
0,0.4,0.598685,0.598688
0,0.433333,0.606667,0.606669
0,0.466667,0.614593,0.614594
0,0.5,0.622456,0.622459
0,0.533333,0.630259,0.63026
0,0.566667,0.637991,0.637994
0,0.6,0.645653,0.645656
0,0.633333,0.653244,0.653245
0,0.666667,0.660753,0.660756
0,0.7,0.668185,0.668188
0,0.733333,0.675535,0.675536
0,0.766667,0.682795,0.682799
0,0.8,0.689972,0.689974
0,0.833333,0.697057,0.697059
0,0.866667,0.704047,0.704052
0,0.9,0.710948,0.71095
0,0.933333,0.717747,0.717751
0,0.966667,0.72445,0.724455
0,1,0.731059,0.731059
0.0333333,0,0.508332,0.508333
0.0333333,0.0333333,0.516797,0.516811
0.0333333,0.0666667,0.525134,0.525261
0.0333333,0.1,0.533387,0.53368
0.0333333,0.133333,0.541577,0.542064
0.0333333,0.166667,0.549721,0.55041
0.0333333,0.2,0.557822,0.558713
0.0333333,0.233333,0.565884,0.56697
0.0333333,0.266667,0.57391,0.575179
0.0333333,0.3,0.581897,0.583334
0.0333333,0.333333,0.589848,0.591434
0.0333333,0.366667,0.597762,0.599475
0.0333333,0.4,0.605634,0.607453
0.0333333,0.433333,0.613467,0.615366
0.0333333,0.466667,0.621257,0.62321
0.0333333,0.5,0.628999,0.630984
0.0333333,0.533333,0.636696,0.638684
0.0333333,0.566667,0.64434,0.646307
0.0333333,0.6,0.651929,0.653852
0.0333333,0.633333,0.659465,0.661316
0.0333333,0.666667,0.666936,0.668696
0.0333333,0.7,0.674346,0.675992
0.0333333,0.733333,0.68169,0.6832
0.0333333,0.766667,0.688959,0.69032
0.0333333,0.8,0.696157,0.697349
0.0333333,0.833333,0.703276,0.704287
0.0333333,0.866667,0.710311,0.711132
0.0333333,0.9,0.717265,0.717882
0.0333333,0.933333,0.724124,0.724538
0.0333333,0.966667,0.730889,0.731098
0.0333333,1,0.737557,0.737562
0.0666667,0,0.51666,0.51666
0.0666667,0.0333333,0.525134,0.525258
0.0666667,0.0666667,0.533434,0.533807
0.0666667,0.1,0.541604,0.542305
0.0666667,0.133333,0.549674,0.550748
0.0666667,0.166667,0.557674,0.559135
0.0666667,0.2,0.565614,0.567461
0.0666667,0.233333,0.573504,0.575726
0.0666667,0.266667,0.581355,0.583926
0.0666667,0.3,0.589167,0.592058
0.0666667,0.333333,0.596946,0.60012
