x,u_exact,u_approx
0,1,0.964028
0.01,0.99995,0.627286
0.02,0.9998,0.629566
0.03,0.99955,0.631603
0.04,0.999201,0.633414
0.05,0.998751,0.635019
0.06,0.998203,0.636433
0.07,0.997555,0.637672
0.08,0.996809,0.638751
0.09,0.995964,0.639683
0.1,0.995021,0.64048
0.11,0.99398,0.641154
0.12,0.992843,0.641715
0.13,0.991609,0.642173
0.14,0.990279,0.642537
0.15,0.988855,0.642814
0.16,0.987335,0.643013
0.17,0.985722,0.643139
0.18,0.984016,0.643199
0.19,0.982218,0.643198
0.2,0.980328,0.643141
0.21,0.978348,0.643033
0.22,0.976279,0.642877
0.23,0.974121,0.642678
0.24,0.971875,0.642438
0.25,0.969544,0.64216
0.26,0.967127,0.641846
0.27,0.964625,0.6415
0.28,0.962041,0.641123
0.29,0.959375,0.640717
0.3,0.956628,0.640282
0.31,0.953802,0.639822
0.32,0.950897,0.639336
0.33,0.947916,0.638826
0.34,0.944859,0.638293
0.35,0.941728,0.637737
0.36,0.938524,0.63716
0.37,0.935249,0.636561
0.38,0.931903,0.635942
0.39,0.928489,0.635302
0.4,0.925007,0.634642
0.41,0.92146,0.633962
0.42,0.917849,0.633263
0.43,0.914174,0.632544
0.44,0.910439,0.631806
0.45,0.906643,0.631048
0.46,0.902789,0.630272
0.47,0.898878,0.629476
0.48,0.894912,0.628661
0.49,0.890891,0.627828
0.5,0.886819,0.626975
0.51,0.882696,0.626103
0.52,0.878523,0.625211
0.53,0.874303,0.624301
0.54,0.870036,0.623371
0.55,0.865725,0.622422
0.56,0.86137,0.621453
0.57,0.856974,0.620464
0.58,0.852538,0.619456
0.59,0.848063,0.618429
0.6,0.843551,0.617381
0.61,0.839003,0.616313
0.62,0.834421,0.615225
0.63,0.829806,0.614117
0.64,0.82516,0.612988
0.65,0.820484,0.61184
0.66,0.815779,0.61067
0.67,0.811048,0.60948
0.68,0.806291,0.608268
0.69,0.80151,0.607036
0.7,0.796705,0.605783
0.71,0.79188,0.604509
0.72,0.787034,0.603213
0.73,0.78217,0.601895
0.74,0.777288,0.600556
0.75,0.77239,0.599195
0.76,0.767477,0.597812
0.77,0.76255,0.596407
0.78,0.757611,0.59498
0.79,0.75266,0.593531
0.8,0.7477,0.592058
0.81,0.742731,0.590564
0.82,0.737754,0.589046
0.83,0.73277,0.587505
0.84,0.727782,0.585942
0.85,0.722788,0.584355
0.86,0.717792,0.582744
0.87,0.712793,0.58111
0.88,0.707794,0.579452
0.89,0.702794,0.57777
0.9,0.697795,0.576064
0.91,0.692797,0.574334
0.92,0.687803,0.572579
0.93,0.682812,0.5708
0.94,0.677826,0.568996
0.95,0.672845,0.567167
0.96,0.667871,0.565313
0.97,0.662904,0.563434
0.98,0.657945,0.56153
0.99,0.652995,0.5596
1,0.648054,0.557644
