method,pde,dim,gen,mse_domain,mse_boundary,tree_size,rank
PISR-NSGA-II,HarmonicOscillator,1,-1,7.1955155618,0.0000000000,9,4
PISR-NSGA-II,HarmonicOscillator,1,-1,5.6545441156,0.0000000000,8,3
PISR-NSGA-II,HarmonicOscillator,1,-1,31.6258472319,0.0000000000,4,5
PISR-NSGA-II,HarmonicOscillator,1,-1,428.9796191182,0.0000000000,5,10
PISR-NSGA-II,HarmonicOscillator,1,-1,7.1955155618,0.0000000000,9,4
PISR-NSGA-II,HarmonicOscillator,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,13
PISR-NSGA-II,HarmonicOscillator,1,-1,11.8332063815,0.0000000000,6,4
PISR-NSGA-II,HarmonicOscillator,1,-1,1.0848409940,0.0000000000,7,2
PISR-NSGA-II,HarmonicOscillator,1,-1,31.6258472319,0.0000000000,4,5
PISR-NSGA-II,HarmonicOscillator,1,-1,428.9796191182,0.0000000000,5,10
PISR-NSGA-II,HarmonicOscillator,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,13
PISR-NSGA-II,HarmonicOscillator,1,-1,20.9048364365,0.0000000000,3,4
PISR-NSGA-II,HarmonicOscillator,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,13
PISR-NSGA-II,HarmonicOscillator,1,-1,7.1955155618,0.0000000000,9,4
PISR-NSGA-II,HarmonicOscillator,1,-1,8.2380451024,0.0000000000,3,2
PISR-NSGA-II,HarmonicOscillator,1,-1,6.1489454764,0.0000000000,7,3
PISR-NSGA-II,HarmonicOscillator,1,-1,20.9048364365,0.0000000000,3,4
PISR-NSGA-II,HarmonicOscillator,1,-1,428.9796191182,0.0000000000,5,10
PISR-NSGA-II,HarmonicOscillator,1,-1,31.6258472319,0.0000000000,4,5
PISR-NSGA-II,HarmonicOscillator,1,-1,20.9048364365,0.0000000000,3,4
PISR-NSGA-II,HarmonicOscillator,1,-1,1.0848409940,0.0000000000,7,2
PISR-NSGA-II,HarmonicOscillator,1,-1,428.9796191182,0.0000000000,5,10
PISR-NSGA-II,HarmonicOscillator,1,-1,428.9796191182,0.0000000000,5,10
PISR-NSGA-II,HarmonicOscillator,1,-1,5.6545441156,0.0000000000,8,3
PISR-NSGA-II,HarmonicOscillator,1,-1,1.0848409940,0.0000000000,7,2
PISR-NSGA-II,HarmonicOscillator,1,-1,20.9048364365,0.0000000000,3,4
PISR-NSGA-II,HarmonicOscillator,1,-1,428.9796191182,0.0000000000,5,10
PISR-NSGA-II,HarmonicOscillator,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,13
PISR-NSGA-II,HarmonicOscillator,1,-1,31.6258472319,0.0000000000,4,5
PISR-NSGA-II,HarmonicOscillator,1,-1,5.6545441156,0.0000000000,8,3
PISR-NSGA-II,HarmonicOscillator,1,-1,428.9796191182,0.0000000000,5,10
PISR-NSGA-II,HarmonicOscillator,1,-1,5.6545441156,0.0000000000,8,3
