method,pde,dim,gen,mse_domain,mse_boundary,tree_size,rank
PISR-NSGA-II,Poisson,1,-1,48.6483634642,0.0000000000,9,3
PISR-NSGA-II,Poisson,1,-1,49.7280112788,0.0000000000,8,3
PISR-NSGA-II,Poisson,1,-1,77.3931522501,0.0000000000,4,3
PISR-NSGA-II,Poisson,1,-1,530.7167116712,0.0000000000,5,2
PISR-NSGA-II,Poisson,1,-1,48.6483634642,0.0000000000,9,3
PISR-NSGA-II,Poisson,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,10
PISR-NSGA-II,Poisson,1,-1,54.7833761995,0.0000000000,6,2
PISR-NSGA-II,Poisson,1,-1,40.4271223926,0.0000000000,7,3
PISR-NSGA-II,Poisson,1,-1,77.3931522501,0.0000000000,4,3
PISR-NSGA-II,Poisson,1,-1,530.7167116712,0.0000000000,5,2
PISR-NSGA-II,Poisson,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,10
PISR-NSGA-II,Poisson,1,-1,73.3184472260,0.0000000000,3,3
PISR-NSGA-II,Poisson,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,10
PISR-NSGA-II,Poisson,1,-1,48.6483634642,0.0000000000,9,3
PISR-NSGA-II,Poisson,1,-1,47.7342816090,0.0000000000,3,3
PISR-NSGA-II,Poisson,1,-1,48.8244849440,0.0000000000,7,3
PISR-NSGA-II,Poisson,1,-1,73.3184472260,0.0000000000,3,3
PISR-NSGA-II,Poisson,1,-1,530.7167116712,0.0000000000,5,2
PISR-NSGA-II,Poisson,1,-1,77.3931522501,0.0000000000,4,3
PISR-NSGA-II,Poisson,1,-1,73.3184472260,0.0000000000,3,3
PISR-NSGA-II,Poisson,1,-1,40.4271223926,0.0000000000,7,3
PISR-NSGA-II,Poisson,1,-1,530.7167116712,0.0000000000,5,2
PISR-NSGA-II,Poisson,1,-1,530.7167116712,0.0000000000,5,2
PISR-NSGA-II,Poisson,1,-1,49.7280112788,0.0000000000,8,3
PISR-NSGA-II,Poisson,1,-1,40.4271223926,0.0000000000,7,3
PISR-NSGA-II,Poisson,1,-1,73.3184472260,0.0000000000,3,3
PISR-NSGA-II,Poisson,1,-1,530.7167116712,0.0000000000,5,2
PISR-NSGA-II,Poisson,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,10
PISR-NSGA-II,Poisson,1,-1,77.3931522501,0.0000000000,4,3
PISR-NSGA-II,Poisson,1,-1,49.7280112788,0.0000000000,8,3
PISR-NSGA-II,Poisson,1,-1,530.7167116712,0.0000000000,5,2
PISR-NSGA-II,Poisson,1,-1,49.7280112788,0.0000000000,8,3
PISR-NSGA-II,Poisson,1,-1,77.3931522501,0.0000000000,4,3
PISR-NSGA-II,Poisson,1,-1,40.4271223926,0.0000000000,7,3
PISR-NSGA-II,Poisson,1,-1,73.3184472260,0.0000000000,3,3
PISR-NSGA-II,Poisson,1,-1,48.6483634642,0.0000000000,9,3
PISR-NSGA-II,Poisson,1,-1,48.8244849440,0.0000000000,7,3
PISR-NSGA-II,Poisson,1,-1,530.7167116712,0.0000000000,5,2
PISR-NSGA-II,Poisson,1,-1,530.7167116712,0.0000000000,5,2
PISR-NSGA-II,Poisson,1,-1,530.7167116712,0.0000000000,5,2
PISR-NSGA-II,Poisson,1,-1,54.7833761995,0.0000000000,6,2
PISR-NSGA-II,Poisson,1,-1,530.7167116712,0.0000000000,5,2
PISR-NSGA-II,Poisson,1,-1,39.9318763692,0.0000000000,4,3
PISR-NSGA-II,Poisson,1,-1,530.7167116712,0.0000000000,5,2
PISR-NSGA-II,Poisson,1,-1,530.7167116712,0.0000000000,5,2
PISR-NSGA-II,Poisson,1,-1,47.7342816090,0.0000000000,3,3
PISR-NSGA-II,Poisson,1,-1,49.7280112788,0.0000000000,8,3
PISR-NSGA-II,Poisson,1,-1,77.3931522501,0.0000000000,4,3
PISR-NSGA-II,Poisson,1,-1,40.4271223926,0.0000000000,7,3
PISR-NSGA-II,Poisson,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,10
PISR-NSGA-II,Poisson,1,-1,40.4271223926,0.0000000000,7,3
PISR-NSGA-II,Poisson,1,-1,77.3931522501,0.0000000000,4,3
PISR-NSGA-II,Poisson,1,-1,73.3184472260,0.0000000000,3,3
PISR-NSGA-II,Poisson,1,-1,49.7280112788,0.0000000000,8,3
PISR-NSGA-II,Poisson,1,-1,530.7167116712,0.0000000000,5,2
PISR-NSGA-II,Poisson,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,10
PISR-NSGA-II,Poisson,1,-1,73.3184472260,0.0000000000,3,3
PISR-NSGA-II,Poisson,1,-1,530.7167116712,0.0000000000,5,2
PISR-NSGA-II,Poisson,1,-1,77.3931522501,0.0000000000,4,3
PISR-NSGA-II,Poisson,1,-1,530.7167116712,0.0000000000,5,2
PISR-NSGA-II,Poisson,1,-1,530.7167116712,0.0000000000,5,2
PISR-NSGA-II,Poisson,1,-1,73.3184472260,0.0000000000,3,3
PISR-NSGA-II,Poisson,1,-1,47.7342816090,0.0000000000,3,3
PISR-NSGA-II,Poisson,1,-1,54.7833761995,0.0000000000,6,2
PISR-NSGA-II,Poisson,1,-1,530.7167116712,0.0000000000,5,2
PISR-NSGA-II,Poisson,1,-1,530.7167116712,0.0000000000,5,2
PISR-NSGA-II,Poisson,1,-1,530.7167116712,0.0000000000,5,2
