x,u_exact,u_approx
0.000000,0.000000,0.000005
0.010000,0.002995,0.005193
0.020000,0.005993,0.010383
0.030000,0.008996,0.015579
0.040000,0.012007,0.020781
0.050000,0.015029,0.025992
0.060000,0.018065,0.031212
0.070000,0.021117,0.036445
0.080000,0.024188,0.041692
0.090000,0.027280,0.046954
0.100000,0.030398,0.052235
0.110000,0.033542,0.057536
0.120000,0.036717,0.062860
0.130000,0.039925,0.068208
0.140000,0.043169,0.073582
0.150000,0.046451,0.078986
0.160000,0.049776,0.084421
0.170000,0.053145,0.089889
0.180000,0.056562,0.095393
0.190000,0.060030,0.100936
0.200000,0.063552,0.106519
0.210000,0.067131,0.112145
0.220000,0.070771,0.117817
0.230000,0.074474,0.123536
0.240000,0.078244,0.129305
0.250000,0.082085,0.135128
0.260000,0.086000,0.141005
0.270000,0.089992,0.146940
0.280000,0.094065,0.152936
0.290000,0.098222,0.158994
0.300000,0.102469,0.165117
0.310000,0.106807,0.171308
0.320000,0.111241,0.177569
0.330000,0.115776,0.183904
0.340000,0.120415,0.190314
0.350000,0.125162,0.196803
0.360000,0.130022,0.203373
0.370000,0.134999,0.210026
0.380000,0.140097,0.216767
0.390000,0.145322,0.223597
0.400000,0.150677,0.230520
0.410000,0.156168,0.237538
0.420000,0.161799,0.244655
0.430000,0.167576,0.251874
0.440000,0.173504,0.259197
0.450000,0.179588,0.266629
0.460000,0.185834,0.274172
0.470000,0.192247,0.281830
0.480000,0.198833,0.289607
0.490000,0.205598,0.297506
0.500000,0.212548,0.305530
0.510000,0.219689,0.313684
0.520000,0.227028,0.321971
0.530000,0.234572,0.330396
0.540000,0.242326,0.338962
0.550000,0.250299,0.347674
0.560000,0.258497,0.356536
0.570000,0.266928,0.365553
0.580000,0.275599,0.374729
0.590000,0.284517,0.384069
0.600000,0.293692,0.393578
0.610000,0.303132,0.403262
0.620000,0.312844,0.413124
0.630000,0.322838,0.423171
0.640000,0.333122,0.433408
0.650000,0.343706,0.443841
0.660000,0.354600,0.454477
0.670000,0.365813,0.465320
0.680000,0.377355,0.476378
0.690000,0.389236,0.487657
0.700000,0.401468,0.499164
0.710000,0.414061,0.510905
0.720000,0.427027,0.522889
0.730000,0.440378,0.535123
0.740000,0.454124,0.547615
0.750000,0.468280,0.560372
0.760000,0.482857,0.573404
0.770000,0.497868,0.586720
0.780000,0.513328,0.600328
0.790000,0.529250,0.614239
0.800000,0.545648,0.628462
0.810000,0.562537,0.643008
0.820000,0.579932,0.657888
0.830000,0.597850,0.673114
0.840000,0.616305,0.688698
0.850000,0.635315,0.704654
0.860000,0.654898,0.720994
0.870000,0.675069,0.737733
0.880000,0.695848,0.754885
0.890000,0.717254,0.772468
0.900000,0.739305,0.790499
0.910000,0.762021,0.808994
0.920000,0.785424,0.827974
0.930000,0.809533,0.847458
0.940000,0.834371,0.867469
0.950000,0.859960,0.888029
0.960000,0.886323,0.909164
0.970000,0.913483,0.930900
0.980000,0.941466,0.953264
0.990000,0.970296,0.976286
1.000000,1.000000,0.999999
