method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0044636868,3.9146208627,9,3
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0058520367,3.9102836057,9,3
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0039884033,4.3439424542,7,2
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0044636868,3.9146208627,9,3
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0058520367,3.9102836057,9,3
