method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PISR-NSGA-II,Fisher,2,0.0833384070,0.0000000000,3,2
PISR-NSGA-II,Fisher,2,0.0833384070,0.0000000000,3,2
PISR-NSGA-II,Fisher,2,0.0833384070,0.0000000000,3,2
PISR-NSGA-II,Fisher,2,0.0833384070,0.0000000000,3,2
PISR-NSGA-II,Fisher,2,0.0000103528,0.0000000000,11,1
PISR-NSGA-II,Fisher,2,0.0000299958,0.0000000000,5,1
PISR-NSGA-II,Fisher,2,0.0833384070,0.0000000000,3,2
PISR-NSGA-II,Fisher,2,0.0219601785,0.0000000000,4,1
PISR-NSGA-II,Fisher,2,0.0000299958,0.0000000000,5,1
PISR-NSGA-II,Fisher,2,0.0219601785,0.0000000000,4,1
PISR-NSGA-II,Fisher,2,0.0833384070,0.0000000000,3,2
PISR-NSGA-II,Fisher,2,0.0219601785,0.0000000000,4,1
PISR-NSGA-II,Fisher,2,0.0219601785,0.0000000000,4,1
