method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,1.0062496348,0.4640796004,3,2
PI-NSGA-II,Duffing,2,0.1260836963,0.0272211794,8,1
